"NAME","PERSON_NAME","PERSON_ID"
"WARSAW ORTHOPEDIC, INC.","WARSAW ORTHOPEDIC, INC.",5213463
"THE WESTERN UNION COMPANY","The Western Union Company",5316635
"NERVIANO MEDICAL SCIENCES S.R.L.","Nerviano Medical Sciences S.R.L.",7493946
"NERVIANO MEDICAL SCIENCES S.R.L.","Nerviano Medical Sciences S.R.L.",5731553
"SPINECORE, INC.","SpineCore, Inc.",6530858
"CODMAN & SHURTLEFF, INC.","Codman & Shurtleff, Inc.",9532396
"TOSHIBA AMERICA ELECTRONIC COMPONENTS, INC.","Toshiba America Electronic Components, Inc.",9180357
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co., Ltd.",11184983
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co., Ltd.",7051460
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co. Ltd.",7063725
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co., Ltd,",7485046
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co., Ltd.",7481052
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co., Ltd.",7485530
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co.,Ltd.",5497364
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co. Ltd.",5466573
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co., Ltd.",5212230
"HON HAI PRECISION INDUSTRY CO., LTD.","Hon Hai Precision Industry Co., Ltd.",5212180
"THE MARLEY-WYLAIN COMPANY","The Marley-Wylain Company",6255605
"GRAPE TECHNOLOGY GROUP, INC.","Grape Technology Group, Inc.",7854159
"WELLSTAT BIOCATALYSIS, LLC","Wellstat BioCatalysis, LLC",7671434
"UNITED VIDEO PROPERTIES, INC.","United Video Properties, Inc.",6166207
"UNITED VIDEO PROPERTIES, INC.","United Video Properties, Inc.",5841036
"AGFA GRAPHICS N.V.","Agfa Graphics NV",5655230
"AGFA GRAPHICS NV","Agfa Graphics, N.V.",10485535
"EURO-CELTIQUE S.A.","Euro-Celtique, S.A.",5535990
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","Matsushita Electric Industrial Co., Ltd.",8387402
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","Matsushita Electric Industrial, Co., Ltd.",8367425
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","Matsushita Electric Industrial Co., Ltd.",6240427
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","Matsushita Electric Industrial Co., LTD",5762870
"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","Matsushita Electric Industrial Co., Ltd.",5214047
"THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA","The Trustees Of The University Of Pennsylvania",6657970
"APPLE INC.","Apple Inc.",11112601
"APPLE INC.","Apple Inc.",9191609
"GROUSE MOUNTAIN, INC.","Grouse Mountain, Inc.",5864861
"NOVO NORDISK A/S","Novo Nordisk A/S",7134963
"ALCATEL LUCENT","Alcatel Lucent",9447313
"BEST POINT GROUP, LTD.","Best Point Group, Ltd.",10272148
"NAMIC / VA, INC.","Namic/VA, Inc.",8053043
"ENDOLOGIX, INC.","Endologix, Inc.",6270054
"MEDTRONIC SPINE LLC","Medtronic Spine LLC",8202712
"HEWLETT-PACKARD COMPANY","Hewlett-Packard Company",5848249
"VOLKSWAGEN AG","Volkswagen AG",11034051
"DCG SYSTEMS, INC.","DCG Systems, Inc",10658392
"SIEMENS COMMUNICATIONS, INC.","Siemens Communications Inc.",5396016
"NOVELLUS DEVELOPMENT COMPANY, LLC","Novellus Development Company, LLC",9661821
"AOL INC.","AOL Inc.",8799952
"EMBARQ HOLDINGS COMPANY, LLC","Embarq Holdings Company, LLC",8620560
"DELTA ELECTRONICS, INC.","Delta Electronics, Inc.",7997578
"DELTA ELECTRONICS, INC.","Delta Electronics, Inc.",5393384
"DELTA ELECTRONICS, INC.","Delta Electronics, Inc.",5385163
"DELTA ELECTRONICS, INC.","Delta Electronics, Inc.",5379395
"TENSORCOMM, INC.","TensorComm, Inc.",9512474
"RAMBUS, INC.","Rambus Inc.",10999875
"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM","Board of Regents, The University of Texas System",8564821
"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM","Board of Regents, The University of Texas System",7280958
"SIEMENS INDUSTRY, INC.","Siemens Industry, Inc.",10657867
"DELL PRODUCTS L.P.","Dell Products LP.",10459377
"SUNBEAM PRODUCTS, INC.","Sunbeam Products. Inc.",8497067
"INTERNATIONAL AUTOMOTIVE COMPONENTS GROUP NORTH AMERICA, INC.","International Automotive Components Group, North America Inc.",10839908
"ISTITUTO DI RICERCHE DI BIOLOGIA MOLECOLARE P. ANGELETTI S.P.A.","Istituto di Ricerche di Biologia Molecolare P Angeletti SpA",10773798
"BAYER CROPSCIENCE AG","Bayer Cropscience AG",7345307
"BAYER CROPSCIENCE AG","Bayer CropScience AG",5889667
"BAYER CROPSCIENCE AG","Bayer CropScience AG",5220296
"INNOVATIVE SILICON ISI SA","Innovative Silicon ISi SA",5893633
"IDEMITSU KOSAN CO., LTD.","Idemitsu Kosan Co. Ltd.",5714972
"CRUCELL HOLLAND B.V.","Crucell Holland, B.V.",6577464
